TEMP,num_delays,avg_delay_time
-39.72,5,35.60
-39.17,2,22.00
-38.39,7,8.14
-38.17,2,20.00
-36.5,1,1.00
-36.33,2,1.50
-36.28,3,7.67
-36.06,4,77.75
-35.83,1,7.00
-35.72,3,4.33
-35.67,1,86.00
-35.0,6,23.33
-34.44,1,11.00
-34.39,14,22.71
-34.17,2,48.50
-34.11,4,11.50
-33.78,5,63.40
-33.61,2,201.00
-33.28,2,17.00
-33.22,1,2.00
-33.11,6,15.00
-32.78,2,11.50
-32.67,3,35.67
-32.61,2,47.50
-32.5,2,7.00
-32.44,6,27.33
-31.94,2,23.00
-31.72,1,8.00
-31.22,1,4.00
-31.0,1,11.00
-30.89,3,115.33
-30.44,1,162.00
-30.39,1,24.00
-30.28,3,26.00
-29.72,1,7.00
-29.33,4,39.75
-29.22,3,11.33
-29.11,2,4.00
-29.06,6,33.17
-28.72,4,21.50
-28.67,3,31.67
-28.56,5,11.60
-28.39,1,15.00
-28.22,1,12.00
-28.17,4,26.50
-28.11,1,56.00
-27.89,1,2.00
-27.83,4,11.25
-27.78,1,4.00
-27.72,1,60.00
-27.5,3,8.67
-27.44,4,19.00
-27.33,1,3.00
-27.22,3,10.33
-27.17,1,43.00
-27.11,5,22.00
-27.06,1,34.00
-26.89,4,29.75
-26.83,2,145.50
-26.72,11,36.00
-26.39,8,40.75
-26.33,6,78.83
-26.28,5,7.00
-26.22,18,64.11
-26.17,3,26.33
-26.06,3,26.67
-25.94,1,2.00
-25.89,2,79.00
-25.72,3,23.67
-25.61,1,195.00
-25.5,1,7.00
-25.44,3,8.67
-25.39,1,14.00
-25.28,1,6.00
-25.22,1,65.00
-25.11,7,29.00
-25.06,2,11.00
-24.89,4,57.25
-24.72,1,28.00
-24.61,3,5.00
-24.56,1,46.00
-24.5,5,31.60
-24.39,2,14.00
-24.33,2,42.00
-24.22,6,22.33
-24.17,2,15.50
-24.0,4,12.25
-23.83,1,17.00
-23.78,6,59.67
-23.72,3,82.00
-23.67,1,341.00
-23.61,3,436.00
-23.56,1,21.00
-23.44,12,89.58
-23.33,1,67.00
-23.28,2,24.50
-23.22,2,2.00
-23.17,2,46.00
-23.11,1,405.00
-23.0,3,13.67
-22.89,2,50.00
-22.83,1,26.00
-22.72,3,43.67
-22.61,8,18.75
-22.56,2,25.00
-22.5,1,19.00
-22.33,2,17.00
-22.28,2,190.00
-22.22,2,32.50
-22.11,3,13.33
-21.94,3,17.67
-21.83,1,1.00
-21.78,2,60.50
-21.61,5,83.20
-21.56,12,8.92
-21.44,1,18.00
-21.39,1,44.00
-21.33,8,31.25
-21.28,1,93.00
-21.22,14,95.14
-21.11,1,8.00
-21.0,6,68.83
-20.94,6,67.83
-20.89,6,48.17
-20.83,2,102.50
-20.78,6,48.50
-20.72,1,2.00
-20.67,17,18.06
-20.61,5,56.20
-20.56,2,271.50
-20.5,21,26.00
-20.44,7,74.86
-20.39,6,31.50
-20.28,3,13.67
-20.17,13,43.00
-20.11,20,36.15
-20.06,4,93.00
-20.0,4,50.50
-19.94,1,23.00
-19.89,2,48.00
-19.78,7,81.00
-19.72,34,32.24
-19.61,32,23.94
-19.5,3,22.33
-19.44,2,353.50
-19.33,13,149.92
-19.28,15,29.33
-19.22,5,49.40
-19.17,32,24.28
-19.11,17,42.35
-19.06,6,33.50
-19.0,4,7.25
-18.89,21,75.57
-18.83,130,28.10
-18.78,5,37.20
-18.67,2,12.50
-18.61,1,2.00
-18.44,440,53.01
-18.39,2,58.00
-18.33,1,40.00
-18.28,11,39.36
-18.17,18,88.94
-18.11,14,166.64
-18.06,15,40.60
-18.0,4,84.00
-17.94,4,27.75
-17.89,6,35.00
-17.83,4,59.00
-17.78,11,158.36
-17.72,12,32.92
-17.67,5,8.60
-17.61,3,51.00
-17.56,19,29.95
-17.5,15,54.00
-17.44,8,54.00
-17.33,20,37.85
-17.28,7,21.29
-17.22,30,52.70
-17.17,8,129.38
-17.11,5,51.00
-17.06,6,11.83
-17.0,1,8.00
-16.94,2,36.50
-16.89,9,55.00
-16.83,10,79.10
-16.78,2,33.00
-16.72,38,85.21
-16.67,2,389.50
-16.61,11,98.91
-16.56,2,6.00
-16.5,7,11.57
-16.44,5,17.80
-16.39,5,8.60
-16.33,3,22.33
-16.28,2,24.50
-16.22,2,24.00
-16.11,27,64.56
-16.06,95,46.19
-16.0,83,76.66
-15.94,13,28.54
-15.89,1,207.00
-15.83,16,32.88
-15.78,13,68.46
-15.72,5,25.40
-15.67,21,41.19
-15.61,23,43.30
-15.56,2,44.00
-15.5,7,85.43
-15.44,18,29.61
-15.39,1,9.00
-15.33,7,52.29
-15.28,17,31.94
-15.22,25,41.00
-15.17,9,98.22
-15.11,92,41.20
-15.06,100,63.26
-15.0,4,93.75
-14.94,6,94.50
-14.89,32,49.84
-14.83,40,51.15
-14.78,65,58.06
-14.72,1,2.00
-14.67,3,43.33
-14.61,7,43.71
-14.56,19,81.95
-14.5,2,10.50
-14.44,534,46.05
-14.39,162,35.76
-14.33,33,39.70
-14.28,118,22.45
-14.22,11,56.73
-14.17,32,53.47
-14.11,192,59.09
-14.06,19,130.21
-14.0,37,51.00
-13.94,5,61.00
-13.89,6,74.83
-13.83,16,85.69
-13.78,17,19.53
-13.72,16,86.81
-13.67,20,49.60
-13.61,17,71.94
-13.56,5,28.80
-13.5,20,99.80
-13.44,10,119.00
-13.39,126,28.22
-13.33,177,40.03
-13.28,18,102.06
-13.22,47,148.36
-13.17,29,69.69
-13.11,16,79.06
-13.06,28,160.43
-13.0,11,25.27
-12.94,5,120.00
-12.89,31,23.48
-12.83,44,47.98
-12.78,407,44.29
-12.72,139,49.52
-12.67,8,71.00
-12.61,9,39.67
-12.56,15,36.67
-12.5,39,51.38
-12.44,3,33.33
-12.39,17,65.59
-12.33,11,10.73
-12.28,15,61.80
-12.22,27,55.89
-12.17,9,50.00
-12.11,145,28.99
-12.06,33,64.12
-12.0,27,46.89
-11.94,20,77.40
-11.89,18,33.28
-11.83,38,62.08
-11.78,120,48.58
-11.72,60,38.47
-11.67,21,85.76
-11.61,76,31.07
-11.56,3,39.33
-11.5,17,61.94
-11.44,18,70.78
-11.39,28,33.57
-11.33,19,221.16
-11.28,46,98.63
-11.22,19,29.47
-11.17,35,46.26
-11.11,30,32.37
-11.06,105,26.17
-11.0,56,43.39
-10.94,164,59.07
-10.89,54,28.17
-10.83,36,64.25
-10.78,25,30.24
-10.72,18,42.00
-10.67,23,103.83
-10.61,17,51.76
-10.56,36,57.78
-10.5,59,74.32
-10.44,45,69.93
-10.39,174,31.47
-10.33,150,47.59
-10.28,37,87.22
-10.22,14,59.79
-10.17,47,48.17
-10.11,64,25.23
-10.06,173,53.88
-10.0,127,45.26
-9.94,22,42.77
-9.89,25,67.56
-9.83,17,78.82
-9.78,69,17.67
-9.72,167,41.26
-9.67,48,54.56
-9.61,64,85.27
-9.56,24,68.33
-9.5,10,105.40
-9.44,20,65.25
-9.39,43,63.09
-9.33,16,20.25
-9.28,64,65.17
-9.22,38,41.08
-9.17,173,34.34
-9.11,86,62.78
-9.06,36,46.81
-9.0,57,62.98
-8.94,167,33.37
-8.89,40,62.23
-8.83,65,43.91
-8.78,57,43.72
-8.72,40,55.80
-8.67,133,41.21
-8.61,45,49.44
-8.56,128,42.16
-8.5,41,81.15
-8.44,38,70.00
-8.39,64,60.09
-8.33,113,35.90
-8.28,28,40.25
-8.22,55,64.87
-8.17,67,48.81
-8.11,31,82.77
-8.06,138,49.83
-8.0,103,64.43
-7.94,195,43.18
-7.89,106,40.53
-7.83,371,45.27
-7.78,236,47.20
-7.72,172,46.51
-7.67,31,116.90
-7.61,110,42.35
-7.56,178,40.85
-7.5,507,34.31
-7.44,170,43.88
-7.39,123,36.37
-7.33,605,45.70
-7.28,61,30.31
-7.22,215,57.40
-7.17,265,41.84
-7.11,79,57.67
-7.06,169,41.18
-7.0,117,39.97
-6.94,90,46.54
-6.89,217,32.93
-6.83,130,30.58
-6.78,224,76.00
-6.72,134,37.63
-6.67,69,67.52
-6.61,68,51.07
-6.56,214,62.37
-6.5,201,40.79
-6.44,285,47.62
-6.39,140,56.43
-6.33,100,29.15
-6.28,288,43.06
-6.22,140,46.31
-6.17,81,47.16
-6.11,169,63.98
-6.06,363,46.78
-6.0,181,34.76
-5.94,135,63.81
-5.89,748,37.65
-5.83,473,38.06
-5.78,272,50.16
-5.72,183,40.87
-5.67,341,42.10
-5.61,297,35.21
-5.56,122,55.31
-5.5,233,26.81
-5.44,124,49.00
-5.39,106,56.42
-5.33,232,49.95
-5.28,423,46.12
-5.22,233,41.82
-5.17,302,39.37
-5.11,280,39.55
-5.06,179,45.65
-5.0,452,41.07
-4.94,899,42.27
-4.89,263,46.07
-4.83,195,42.47
-4.78,149,40.05
-4.72,110,58.85
-4.67,563,30.88
-4.61,107,68.26
-4.56,110,44.37
-4.5,455,48.75
-4.44,952,99.95
-4.39,109,66.34
-4.33,552,43.10
-4.28,320,49.34
-4.22,194,44.79
-4.17,378,45.04
-4.11,315,44.07
-4.06,782,43.54
-4.0,380,46.21
-3.94,418,41.55
-3.89,422,34.44
-3.83,419,43.36
-3.78,416,50.02
-3.72,314,37.22
-3.67,206,52.18
-3.61,373,51.49
-3.56,288,55.22
-3.5,479,39.85
-3.44,577,40.44
-3.39,515,61.63
-3.33,224,46.69
-3.28,290,46.42
-3.22,442,49.85
-3.17,328,43.94
-3.11,904,40.95
-3.06,266,44.55
-3.0,141,64.79
-2.94,384,43.12
-2.89,310,48.08
-2.83,488,45.28
-2.78,405,50.65
-2.72,765,36.44
-2.67,543,44.56
-2.61,333,36.91
-2.56,531,41.82
-2.5,678,47.40
-2.44,552,45.88
-2.39,192,44.21
-2.33,1356,39.36
-2.28,494,36.89
-2.22,423,71.67
-2.17,573,51.77
-2.11,602,37.23
-2.06,725,47.52
-2.0,707,47.37
-1.94,387,47.60
-1.89,474,46.21
-1.83,878,47.10
-1.78,1108,49.74
-1.72,714,49.68
-1.67,1152,47.22
-1.61,363,48.45
-1.56,445,39.19
-1.5,1491,48.81
-1.44,577,37.99
-1.39,974,39.72
-1.33,1042,49.37
-1.28,948,47.41
-1.22,1391,42.25
-1.17,597,38.35
