DEWP,num_delays,avg_delay_time
-36.3,6,23.33
-34.8,2,48.50
-34.6,4,11.50
-34.0,4,77.75
-33.0,1,11.00
-32.8,1,2.00
-32.6,2,23.00
-32.4,9,20.67
-32.3,2,47.50
-32.1,2,11.00
-31.4,5,63.40
-31.1,2,7.00
-31.0,2,11.50
-30.9,1,8.00
-30.1,3,10.33
-30.0,1,4.00
-29.8,5,149.60
-29.6,6,27.33
-29.3,1,3.00
-28.9,1,11.00
-28.0,3,41.00
-27.4,1,21.00
-27.2,2,36.50
-27.0,2,21.50
-26.8,1,25.00
-26.5,2,47.50
-26.2,5,39.80
-26.1,4,8.25
-25.9,2,12.50
-25.8,1,17.00
-25.6,2,6.50
-25.5,1,4.00
-25.3,2,37.50
-25.2,4,26.50
-25.1,1,162.00
-24.9,1,56.00
-24.7,1,60.00
-24.6,3,12.00
-24.4,1,12.00
-24.2,1,15.00
-24.1,4,11.25
-23.8,3,58.33
-23.7,1,3.00
-23.3,2,41.50
-23.2,1,3.00
-23.1,3,22.33
-22.8,2,21.50
-22.7,7,37.43
-22.5,5,22.00
-22.4,12,37.17
-22.1,2,5.00
-22.0,2,12.00
-21.9,22,73.09
-21.8,1,64.00
-21.7,3,26.33
-21.6,2,145.50
-21.4,1,1.00
-21.3,1,2.00
-21.2,2,9.00
-21.0,12,40.17
-20.9,4,27.50
-20.7,1,36.00
-20.6,1,40.00
-20.4,6,22.33
-20.3,3,8.67
-20.1,2,36.00
-19.9,5,36.40
-19.8,6,24.67
-19.7,4,6.50
-19.6,1,14.00
-19.5,3,41.67
-19.4,3,120.67
-19.3,1,2.00
-19.2,1,8.00
-19.1,2,141.00
-19.0,1,53.00
-18.8,2,14.00
-18.3,4,65.00
-18.2,1,46.00
-17.9,2,46.50
-17.8,1,6.00
-17.7,7,128.00
-17.4,2,6.50
-17.1,2,212.00
-16.9,1,63.00
-16.8,8,64.25
-16.7,1,12.00
-16.6,8,52.62
-16.5,6,48.50
-16.4,4,51.25
-16.2,1,47.00
-16.1,14,95.14
-16.0,1,67.00
-15.9,1,22.00
-15.7,3,46.00
-15.6,4,408.25
-15.4,230,48.53
-15.3,6,12.00
-15.2,5,29.40
-15.0,3,148.67
-14.9,2,2.00
-14.8,1,19.00
-14.7,4,37.50
-14.6,1,87.00
-14.5,1,11.00
-14.4,4,12.25
-14.3,7,43.43
-14.1,11,39.00
-14.0,8,14.75
-13.9,1,25.00
-13.8,2,14.50
-13.5,7,73.43
-13.4,11,52.73
-13.3,3,51.67
-13.1,7,58.57
-13.0,6,52.83
-12.8,2,61.50
-12.6,1,13.00
-12.5,4,22.50
-12.4,131,27.96
-12.3,4,5.50
-12.2,1,8.00
-12.1,18,51.11
-12.0,2,10.50
-11.9,5,79.40
-11.8,3,70.00
-11.7,5,203.40
-11.6,7,127.57
-11.5,2,70.00
-11.4,201,51.64
-11.3,23,36.09
-11.2,9,33.22
-11.0,29,62.41
-10.8,9,13.89
-10.6,2,3.00
-10.5,2,12.50
-10.3,16,39.75
-10.2,3,32.67
-10.1,47,45.34
-10.0,4,15.75
-9.9,3,56.33
-9.8,29,23.66
-9.7,33,38.12
-9.6,9,175.67
-9.5,2,31.00
-9.4,2,49.00
-9.3,8,183.62
-9.2,27,131.04
-9.1,21,26.05
-9.0,31,34.00
-8.9,2,23.50
-8.8,3,86.67
-8.7,5,43.00
-8.6,92,36.67
-8.4,24,32.25
-8.3,6,22.33
-8.2,3,21.00
-8.1,13,48.62
-7.9,27,72.56
-7.8,13,38.00
-7.6,5,19.40
-7.5,14,15.36
-7.4,15,58.33
-7.3,12,60.33
-7.2,12,28.92
-7.1,1,19.00
-7.0,10,139.00
-6.9,11,28.82
-6.6,579,44.96
-6.5,28,152.71
-6.4,4,12.50
-6.3,5,28.80
-6.2,44,79.14
-6.1,20,24.45
-6.0,8,31.50
-5.9,22,137.00
-5.8,39,62.36
-5.7,113,21.74
-5.6,10,36.70
-5.5,80,16.88
-5.4,10,22.90
-5.3,5,46.20
-5.2,53,64.21
-5.1,24,23.04
-5.0,9,117.44
-4.9,2,15.50
-4.8,21,56.95
-4.7,106,38.54
-4.6,2,9.00
-4.5,1,96.00
-4.4,146,39.18
-4.3,5,57.80
-4.2,150,57.74
-4.1,133,31.94
-4.0,5,31.40
-3.9,1,21.00
-3.8,33,69.09
-3.7,29,39.21
-3.6,5,82.40
-3.5,8,35.38
-3.4,17,66.29
-3.2,189,59.34
-3.1,105,49.28
-3.0,40,42.30
-2.8,106,46.25
-2.7,4,28.50
-2.6,21,40.71
-2.5,140,64.34
-2.4,13,87.00
-2.3,15,50.60
-2.2,14,40.64
-2.1,13,53.38
-2.0,12,54.67
-1.9,23,33.70
-1.8,6,45.67
-1.7,180,20.82
-1.6,23,46.65
-1.5,68,47.82
-1.4,34,31.00
-1.3,45,77.13
-1.2,368,32.45
-1.1,31,52.90
-1.0,113,34.99
-0.9,29,70.55
-0.8,30,28.37
-0.7,40,54.02
-0.6,48,61.62
-0.5,15,33.33
-0.4,28,69.46
-0.3,23,38.96
-0.2,20,30.50
