ELEVATION,num_delays,avg_delay_time
2353.1,1159,81.77
2214.7,81,79.06
2134.5,233,71.38
2055.0,57,116.65
2011.7,396,67.03
1933.7,214,82.00
1884.0,1159,81.77
1863.2,34,84.32
1743.5,391,61.32
1702.6,25,163.24
1678.2,75,44.69
1659.6,136,72.38
1620.9,193,60.22
1618.5,2312,35.73
1617.3,214,58.79
1606.3,75,116.28
1536.8,100,89.06
1533.1,49,120.63
1480.7,457,64.77
1442.6,305,63.63
1441.4,90,102.50
1389.9,98,89.84
1370.7,195,29.57
1357.0,70,70.39
1349.3,1063,43.15
1344.2,2297,34.90
1327.1,85,111.08
1287.8,18591,30.06
1265.2,105,46.23
1202.4,181,87.16
1194.2,1576,43.64
1166.8,225,46.00
1116.8,339,70.47
1112.2,90,90.43
1098.5,614,53.18
1091.5,666,49.03
991.8,735,47.79
972.9,690,52.07
963.2,699,58.46
927.5,866,52.56
901.3,661,54.44
878.4,124,56.91
872.3,848,49.38
857.7,2538,44.62
846.7,96,106.20
787.0,41,136.95
786.4,50,88.46
777.5,217,26.24
776.9,2018,44.41
717.2,2493,35.45
696.2,11,22.73
664.5,24150,25.69
645.3,1238,51.49
609.0,103,93.81
584.0,219,44.87
560.8,185,75.09
545.6,269,49.14
507.5,317,73.38
503.2,638,67.36
495.0,80,88.42
486.2,71,122.39
456.3,508,48.46
455.4,124,76.83
437.7,76,78.01
436.8,250,53.01
435.3,1066,58.21
412.1,54,128.87
402.6,1182,52.26
400.2,852,57.17
397.5,308,79.76
395.3,110,76.34
392.3,1208,52.49
391.7,2394,43.16
389.2,266,58.40
384.7,1161,51.99
374.6,198,28.14
372.2,56,87.18
369.7,686,58.09
366.7,3914,42.57
365.5,118,51.12
362.7,257,72.69
360.6,67,108.30
358.1,728,54.58
355.4,136,19.62
350.2,107,78.77
337.4,24384,26.37
333.8,131,37.12
325.8,147,40.89
324.3,127,34.08
310.3,46,30.65
310.0,129,38.84
307.8,47372,27.74
306.3,4892,36.52
305.7,1291,53.32
304.8,112,70.13
304.5,67,82.63
299.9,62,83.65
299.3,2260,42.22
298.7,1035,56.87
296.3,140,80.37
293.2,1680,57.79
291.7,1819,50.87
291.1,1759,53.04
289.3,2692,29.93
286.5,294,42.00
283.5,454,70.12
279.5,667,61.46
277.4,555,57.14
274.3,855,63.98
272.2,273,60.55
271.3,1422,62.42
269.1,4724,44.07
265.8,14974,35.02
264.6,1625,59.16
264.0,1276,60.89
263.7,294,60.42
261.8,312,63.49
256.6,174,77.52
251.2,213,53.68
248.7,4118,38.45
244.8,2278,46.51
243.5,120,100.44
241.1,5798,39.27
240.5,3886,35.35
238.0,4300,42.66
235.6,887,53.90
234.7,660,47.19
229.8,228,66.80
225.9,2403,28.95
222.5,181,60.92
222.2,237,55.42
221.9,36382,32.93
214.9,258,78.64
209.4,462,65.94
208.5,109,122.00
205.7,48,69.42
205.4,248,57.33
204.2,7432,35.76
203.3,3211,37.66
201.8,38918,38.79
201.2,224,72.48
198.7,187,59.34
198.1,2238,51.10
195.1,683,63.46
192.3,18011,36.04
190.2,884,56.73
188.4,519,63.71
187.5,2029,42.07
186.5,15356,18.57
184.7,683,32.58
182.9,11153,27.09
181.1,193,65.09
180.4,553,55.99
178.3,162,48.49
170.7,53089,33.10
165.8,197,42.33
164.3,1366,49.59
161.8,8987,27.69
152.4,179,42.16
151.5,86,71.98
149.0,276,58.90
148.7,2377,47.72
136.9,192,49.68
134.1,13146,17.39
131.7,544,29.53
126.8,5367,42.92
125.9,1262,61.67
124.7,1519,48.60
124.1,604,48.05
122.8,12,39.50
121.9,443,52.07
119.5,124,38.69
118.9,704,69.64
114.0,145,71.05
112.8,27616,25.53
111.9,1006,50.36
111.3,137,40.07
110.0,124,51.90
107.6,843,56.57
101.5,1232,57.46
100.6,1601,58.33
96.9,57,120.21
95.1,903,52.58
93.0,165,64.07
89.6,110,78.39
88.4,8944,47.26
85.3,1450,47.24
80.5,125,66.24
78.6,1509,43.58
77.4,3639,45.51
73.8,28,52.57
71.3,180,88.97
68.6,1178,45.05
67.4,744,49.67
61.6,488,51.60
61.0,894,64.35
60.4,124,66.53
57.9,318,49.40
56.7,619,40.02
53.3,2443,43.77
50.3,359,70.93
50.0,2360,45.86
47.5,17243,22.70
45.1,458,69.40
44.5,101,68.57
40.2,797,42.33
37.5,512,60.13
36.6,2107,30.79
35.1,9,145.00
34.7,354,46.69
34.1,1521,50.01
31.1,231,23.59
30.5,1349,46.65
29.6,24769,29.55
29.3,446,47.52
29.0,17437,40.56
27.4,19558,32.05
25.6,937,41.46
24.4,118,26.86
24.1,262,72.39
20.4,121,22.85
19.5,621,60.57
18.3,267,41.31
16.8,3959,44.23
16.5,4067,30.85
15.5,7381,27.55
14.3,196,55.68
14.0,1689,53.84
13.7,1077,55.50
13.4,534,44.48
13.1,1207,32.11
12.8,852,50.15
12.2,2292,46.06
11.6,868,42.01
10.1,901,50.71
9.4,1635,36.41
9.1,2535,48.54
8.8,10522,32.78
8.5,1461,50.72
8.2,287,50.76
7.9,3179,40.50
7.6,143,49.97
7.3,168,56.71
7.0,6041,26.17
5.8,21154,30.92
4.9,819,36.18
4.6,8296,29.28
4.0,87,27.56
3.7,11988,35.03
3.4,34741,36.04
3.0,22987,43.52
2.7,4985,43.98
2.4,15778,37.37
2.1,23186,35.50
1.8,6041,19.46
1.2,6856,32.40
0.3,1090,40.19
