VISIB,num_delays,avg_delay_time
0.0,50,30.16
0.2,1,23.00
0.3,32,35.28
0.4,8,99.12
0.5,19,21.21
0.6,13,57.85
0.7,48,37.71
0.8,60,60.90
0.9,50,56.46
1.0,567,31.81
1.1,56,36.77
1.2,166,44.08
1.3,68,40.24
1.4,88,43.98
1.5,81,77.81
1.6,47,72.83
1.7,80,59.27
1.8,138,49.43
1.9,95,67.34
2.0,287,76.02
2.1,757,35.48
2.2,352,41.49
2.3,196,50.53
2.4,366,52.23
2.5,1303,51.97
2.6,468,50.17
2.7,636,54.59
2.8,391,55.35
2.9,155,62.03
3.0,211,50.75
3.1,263,49.95
3.2,1369,59.75
3.3,447,57.62
3.4,1739,38.78
3.5,1994,77.26
3.6,1142,48.31
3.7,342,48.02
3.8,740,52.27
3.9,1109,41.60
4.0,942,45.41
4.1,881,50.48
4.2,836,48.93
4.3,1202,43.21
4.4,1253,47.63
4.5,1625,60.67
4.6,1559,46.58
4.7,2039,46.61
4.8,2121,40.16
4.9,2195,38.59
5.0,2044,50.51
5.1,1321,40.82
5.2,3159,72.26
5.3,2423,43.57
5.4,3097,43.49
5.5,2014,44.41
5.6,1844,56.43
5.7,2746,42.34
5.8,1943,41.99
5.9,1893,41.47
6.0,3193,52.92
6.1,2752,41.29
6.2,3577,39.86
6.3,1923,38.61
6.4,2994,43.38
6.5,3056,38.72
6.6,4207,44.70
6.7,3348,43.45
6.8,3743,40.73
6.9,2959,42.12
7.0,3751,37.19
7.1,4405,38.50
7.2,3490,40.18
7.3,3393,37.59
7.4,5175,40.81
7.5,5873,45.77
7.6,6627,37.81
7.7,4297,35.30
7.8,4186,41.77
7.9,5983,35.56
8.0,7276,42.18
8.1,4193,35.75
8.2,7695,38.84
8.3,6539,35.97
8.4,6387,38.20
8.5,9055,37.67
8.6,6244,36.99
8.7,11483,37.57
8.8,9307,36.91
8.9,9897,37.75
9.0,11864,36.72
9.1,11342,36.63
9.2,13264,36.67
9.3,12280,35.57
9.4,14124,36.38
9.5,20940,36.25
9.6,21127,38.40
9.7,32431,36.43
9.8,28710,34.87
9.9,39386,33.37
10.0,405004,32.11
10.1,2,9.50
10.2,3,108.33
10.4,3,12.33
10.5,3,17.00
10.7,3,37.33
10.8,3,8.67
11.0,1,43.00
11.3,4,9.25
11.5,4,61.00
11.6,2,431.00
11.7,4,83.25
11.8,3,7.33
11.9,3,29.00
12.0,1,2.00
12.2,2,5.50
12.3,1,80.00
12.4,2,10.50
12.5,5,37.60
13.1,1,24.00
13.3,3,41.33
14.5,1,62.00
14.6,1,15.00
