VISIB_CATEGORY,ORIGIN_CITY,num_delays,avg_delay_time
High_VISIB,LBE,47,48.72
High_VISIB,LBB,4,61.00
High_VISIB,GEG,2,61.00
High_VISIB,HPN,1,67.00
High_VISIB,SMX,1,2.00
Low_VISIB,ATL,2280,29.95
Low_VISIB,ORD,1639,79.33
Low_VISIB,DTW,1502,48.13
Low_VISIB,DFW,1069,34.95
Low_VISIB,IAH,772,44.42
Low_VISIB,LAX,534,37.03
Low_VISIB,BWI,450,36.72
Low_VISIB,JFK,437,64.58
Low_VISIB,BOS,406,68.51
Low_VISIB,SEA,394,29.36
Low_VISIB,EWR,348,48.14
Low_VISIB,SMF,294,40.42
Low_VISIB,MDW,284,62.80
Low_VISIB,GEG,259,36.66
Low_VISIB,CVG,244,52.59
Low_VISIB,PIT,205,65.09
Low_VISIB,PDX,188,32.94
Low_VISIB,LGA,179,50.54
Low_VISIB,PHL,178,67.79
Low_VISIB,CLE,163,51.27
Low_VISIB,MSP,152,38.35
Low_VISIB,MCI,148,41.56
Low_VISIB,MKE,125,35.22
Low_VISIB,MSY,113,71.20
Low_VISIB,FAT,110,67.87
Low_VISIB,CMH,106,51.79
Low_VISIB,IND,102,35.07
Low_VISIB,SFO,93,31.44
Low_VISIB,CID,91,79.10
Low_VISIB,IAD,90,77.89
Low_VISIB,DAY,85,71.45
Low_VISIB,CAK,83,93.20
Low_VISIB,DSM,83,48.06
Low_VISIB,BOI,83,36.34
Low_VISIB,BDL,73,41.36
Low_VISIB,GRR,72,49.99
Low_VISIB,AUS,71,34.04
Low_VISIB,ASE,69,96.22
Low_VISIB,PNS,67,85.15
Low_VISIB,ANC,67,29.55
Low_VISIB,OMA,65,51.12
Low_VISIB,MSN,58,59.02
Low_VISIB,GSO,55,76.05
Low_VISIB,MFR,53,122.85
Low_VISIB,RIC,49,58.08
Low_VISIB,MEM,48,46.31
Low_VISIB,OAK,45,16.56
Low_VISIB,HPN,44,67.50
Low_VISIB,SBN,44,107.32
Low_VISIB,ONT,44,36.52
Low_VISIB,FSD,42,131.36
Low_VISIB,SAN,41,24.68
Low_VISIB,LIT,38,39.97
Low_VISIB,SAT,36,53.44
Low_VISIB,TYS,36,104.31
Low_VISIB,MSO,36,79.69
Low_VISIB,EUG,34,108.74
Low_VISIB,RDU,31,46.26
Low_VISIB,ABE,30,141.40
Low_VISIB,AZO,30,100.27
Low_VISIB,SNA,30,38.80
Low_VISIB,CMI,29,81.97
Low_VISIB,FAI,29,39.14
Low_VISIB,ATW,29,39.07
Low_VISIB,OKC,29,71.69
Low_VISIB,GSP,27,49.00
Low_VISIB,ALB,26,137.27
Low_VISIB,MDT,25,70.92
Low_VISIB,SYR,24,110.00
Low_VISIB,SJC,24,21.21
Low_VISIB,ABQ,23,22.61
Low_VISIB,ROC,23,83.48
Low_VISIB,FWA,22,39.45
Low_VISIB,GPT,22,79.09
Low_VISIB,PIA,22,109.45
Low_VISIB,MHT,22,51.73
Low_VISIB,PVD,22,33.68
Low_VISIB,TVC,21,106.57
Low_VISIB,TRI,21,39.14
Low_VISIB,JNU,21,70.57
Low_VISIB,PWM,21,61.71
Low_VISIB,PAE,20,20.50
Low_VISIB,FCA,20,88.40
Low_VISIB,ERI,19,81.32
Low_VISIB,RST,19,75.16
Low_VISIB,BMI,19,71.68
Low_VISIB,IDA,19,102.37
Low_VISIB,PSC,19,56.84
Low_VISIB,BUR,18,16.56
Low_VISIB,LGB,18,23.39
Low_VISIB,HDN,18,257.56
Low_VISIB,ISP,17,49.06
Low_VISIB,ACV,16,207.75
Low_VISIB,SBA,16,75.75
Low_VISIB,PUW,15,30.53
Low_VISIB,FAR,15,74.27
Low_VISIB,BRW,15,28.27
Low_VISIB,GTF,15,139.07
Low_VISIB,LAN,14,46.79
Low_VISIB,BIS,14,120.36
Low_VISIB,DLH,13,28.69
Low_VISIB,SCK,13,59.69
Low_VISIB,BFL,13,83.08
Low_VISIB,CRW,13,61.46
Low_VISIB,TOL,13,63.85
Low_VISIB,OME,12,33.75
Low_VISIB,CHA,12,50.92
Low_VISIB,MAF,12,44.58
Low_VISIB,SBP,12,25.92
Low_VISIB,ALW,11,12.09
Low_VISIB,GRB,11,83.91
Low_VISIB,BGM,10,296.30
Low_VISIB,AGS,10,59.20
Low_VISIB,BGR,10,109.70
Low_VISIB,EAT,10,33.00
Low_VISIB,BET,10,42.90
Low_VISIB,YAK,9,35.33
Low_VISIB,PHF,9,157.78
Low_VISIB,LWS,9,131.78
Low_VISIB,BIL,9,52.67
Low_VISIB,STS,9,20.56
Low_VISIB,CWA,8,104.62
Low_VISIB,LSE,8,72.12
Low_VISIB,BTV,8,47.88
Low_VISIB,COU,8,216.50
Low_VISIB,RDM,8,60.50
Low_VISIB,RNO,8,11.25
Low_VISIB,SUX,7,28.71
Low_VISIB,CHO,7,89.43
Low_VISIB,XWA,7,443.71
Low_VISIB,GRI,7,83.00
Low_VISIB,MBS,7,111.57
Low_VISIB,ORF,7,127.57
Low_VISIB,TTN,6,103.50
Low_VISIB,OTZ,6,35.17
Low_VISIB,IAG,6,56.83
Low_VISIB,LBB,6,56.00
Low_VISIB,BZN,6,17.33
Low_VISIB,ABI,6,219.83
Low_VISIB,SDF,6,39.67
Low_VISIB,MLI,5,32.80
Low_VISIB,ABR,5,178.60
Low_VISIB,GFK,5,59.60
Low_VISIB,LNK,5,152.40
Low_VISIB,ORH,5,80.00
Low_VISIB,LBE,5,38.40
Low_VISIB,TLH,5,32.00
Low_VISIB,RAP,5,89.60
Low_VISIB,SHV,4,42.25
Low_VISIB,SPI,4,19.25
Low_VISIB,AEX,4,216.00
Low_VISIB,GJT,4,39.50
Low_VISIB,HIB,4,133.50
Low_VISIB,PVU,4,66.75
Low_VISIB,ADQ,4,77.75
Low_VISIB,CIU,4,352.50
Low_VISIB,SBY,4,67.50
Low_VISIB,CAE,4,38.25
Low_VISIB,SJU,4,35.00
Low_VISIB,XNA,4,16.75
Low_VISIB,ACT,3,90.33
Low_VISIB,HTS,3,54.67
Low_VISIB,BPT,3,50.33
Low_VISIB,IMT,3,185.33
Low_VISIB,RFD,3,63.33
Low_VISIB,ALO,3,62.00
Low_VISIB,FLG,3,25.33
Low_VISIB,LCH,3,12.67
Low_VISIB,HLN,3,119.67
Low_VISIB,FLO,2,72.00
Low_VISIB,JMS,2,19.50
Low_VISIB,TXK,2,93.50
Low_VISIB,SHR,2,435.50
Low_VISIB,RDD,2,16.50
Low_VISIB,PLN,2,433.50
Low_VISIB,ART,2,81.50
Low_VISIB,AMA,2,62.50
Low_VISIB,BTM,2,102.00
Low_VISIB,MRY,2,107.00
Low_VISIB,TYR,2,20.50
Low_VISIB,SJT,2,68.00
Low_VISIB,ACY,2,260.00
Low_VISIB,DIK,2,160.00
Low_VISIB,BRD,2,12.50
Low_VISIB,OAJ,2,115.50
Low_VISIB,YKM,2,5.50
Low_VISIB,INL,2,522.50
Low_VISIB,APN,1,91.00
Low_VISIB,RHI,1,51.00
Low_VISIB,GCC,1,70.00
Low_VISIB,PBG,1,71.00
Low_VISIB,CKB,1,249.00
Low_VISIB,RIW,1,808.00
Low_VISIB,ELM,1,9.00
Low_VISIB,CRP,1,4.00
Low_VISIB,ROA,1,26.00
Low_VISIB,TWF,1,93.00
Low_VISIB,SUN,1,17.00
Low_VISIB,BFF,1,10.00
Low_VISIB,LYH,1,186.00
Low_VISIB,GNV,1,93.00
Low_VISIB,CNY,1,3.00
Low_VISIB,GCK,1,139.00
Medium_VISIB,DFW,52020,33.06
Medium_VISIB,ATL,45092,27.63
Medium_VISIB,ORD,37279,37.01
Medium_VISIB,CLT,36382,32.93
Medium_VISIB,SEA,27222,25.47
Medium_VISIB,PHX,24384,26.37
Medium_VISIB,LAX,24235,29.39
Medium_VISIB,LAS,24150,25.69
Medium_VISIB,MCO,19558,32.05
Medium_VISIB,SLC,18591,30.06
Medium_VISIB,BWI,16793,22.32
Medium_VISIB,IAH,16665,40.38
Medium_VISIB,DTW,16509,34.94
Medium_VISIB,EWR,16354,39.96
Medium_VISIB,SFO,15685,37.40
Medium_VISIB,MDW,15072,17.74
Medium_VISIB,MSP,14822,34.99
Medium_VISIB,FLL,13989,31.48
Medium_VISIB,DAL,13146,17.39
Medium_VISIB,PHL,12573,42.23
Medium_VISIB,BOS,11582,33.86
Medium_VISIB,BNA,11153,27.09
Medium_VISIB,LGA,10792,43.00
Medium_VISIB,MIA,10522,32.78
Medium_VISIB,DCA,10236,44.67
Medium_VISIB,TPA,9775,30.60
Medium_VISIB,JFK,9344,33.23
Medium_VISIB,STL,8987,27.69
Medium_VISIB,IAD,8854,46.95
Medium_VISIB,SAN,8255,29.30
Medium_VISIB,PDX,7873,27.49
Medium_VISIB,MSY,6743,31.75
Medium_VISIB,AUS,6509,33.59
Medium_VISIB,HNL,6484,23.56
Medium_VISIB,OAK,5996,19.48
Medium_VISIB,SMF,5747,25.44
Medium_VISIB,RDU,5336,42.90
Medium_VISIB,SJC,4797,27.31
Medium_VISIB,MCI,4744,36.37
Medium_VISIB,IND,4717,36.35
Medium_VISIB,CVG,4480,43.61
Medium_VISIB,SJU,4305,39.84
Medium_VISIB,CLE,4137,42.32
Medium_VISIB,SNA,4037,30.79
Medium_VISIB,CMH,4012,38.09
Medium_VISIB,SAT,3850,35.18
Medium_VISIB,PIT,3575,39.14
Medium_VISIB,MKE,3086,37.76
Medium_VISIB,PBI,3069,39.14
Medium_VISIB,JAX,2909,39.49
Medium_VISIB,MEM,2790,42.03
Medium_VISIB,ONT,2648,29.82
Medium_VISIB,OGG,2560,28.05
Medium_VISIB,BOI,2455,44.90
Medium_VISIB,ORF,2423,49.34
Medium_VISIB,BUR,2385,29.05
Medium_VISIB,SDF,2371,47.74
Medium_VISIB,BDL,2370,43.85
Medium_VISIB,OKC,2365,42.81
Medium_VISIB,RIC,2311,45.60
Medium_VISIB,CHS,2292,46.06
Medium_VISIB,RNO,2289,34.99
Medium_VISIB,ABQ,2289,35.86
Medium_VISIB,ASE,2249,81.33
Medium_VISIB,GEG,2232,35.29
Medium_VISIB,GRR,2206,46.40
Medium_VISIB,OMA,2195,41.96
Medium_VISIB,ANC,2040,30.83
Medium_VISIB,BHM,2029,42.07
Medium_VISIB,TUS,2018,44.41
Medium_VISIB,DSM,1736,51.01
Medium_VISIB,SAV,1689,53.84
Medium_VISIB,TYS,1644,56.78
Medium_VISIB,TUL,1627,43.79
Medium_VISIB,GSP,1616,52.75
Medium_VISIB,PVD,1607,40.85
Medium_VISIB,SFB,1605,46.71
Medium_VISIB,ELP,1576,43.64
Medium_VISIB,PSP,1519,48.60
Medium_VISIB,LIT,1471,43.68
Medium_VISIB,SRQ,1461,50.72
Medium_VISIB,PNS,1454,48.39
Medium_VISIB,ALB,1424,45.60
Medium_VISIB,GSO,1367,61.87
Medium_VISIB,ROC,1343,49.01
Medium_VISIB,AVL,1238,51.49
Medium_VISIB,SYR,1238,60.74
Medium_VISIB,MSN,1218,60.98
Medium_VISIB,KOA,1207,32.11
Medium_VISIB,DAY,1206,52.04
Medium_VISIB,XNA,1204,52.60
Medium_VISIB,ICT,1182,52.26
Medium_VISIB,CAE,1174,45.07
Medium_VISIB,SGF,1161,51.99
Medium_VISIB,CID,1155,53.79
Medium_VISIB,FAT,1122,56.44
Medium_VISIB,EYW,1090,40.19
Medium_VISIB,LGB,1065,36.25
Medium_VISIB,BZN,1057,43.29
Medium_VISIB,PWM,1056,55.38
Medium_VISIB,LEX,1035,56.87
Medium_VISIB,FSD,1024,55.21
Medium_VISIB,HPN,961,49.56
Medium_VISIB,FWA,957,54.12
Medium_VISIB,HSV,884,56.73
Medium_VISIB,LIH,882,41.93
Medium_VISIB,MDT,878,52.05
Medium_VISIB,RDM,858,52.48
Medium_VISIB,JAN,845,51.20
Medium_VISIB,SBN,843,51.11
Medium_VISIB,CHA,840,52.48
Medium_VISIB,FAR,840,63.80
Medium_VISIB,MAF,836,49.44
Medium_VISIB,EUG,809,54.38
Medium_VISIB,MFR,799,52.82
Medium_VISIB,AGS,787,42.12
Medium_VISIB,ILM,764,55.63
Medium_VISIB,BTV,748,66.49
Medium_VISIB,ROA,727,54.62
Medium_VISIB,LBB,725,47.65
Medium_VISIB,MHT,722,49.61
Medium_VISIB,TLH,720,46.66
Medium_VISIB,SHV,716,58.63
Medium_VISIB,SBP,700,55.47
Medium_VISIB,RAP,694,58.23
Medium_VISIB,JNU,692,33.80
Medium_VISIB,CHO,676,63.19
Medium_VISIB,ABE,674,66.45
Medium_VISIB,PAE,663,32.94
Medium_VISIB,FNT,660,47.19
Medium_VISIB,BIL,657,48.98
Medium_VISIB,MSO,654,50.55
Medium_VISIB,FCA,641,53.38
Medium_VISIB,ATW,638,62.48
Medium_VISIB,BIS,624,66.17
Medium_VISIB,BTR,621,60.57
Medium_VISIB,FAY,619,40.02
Medium_VISIB,AMA,612,53.15
Medium_VISIB,CAK,603,53.25
Medium_VISIB,PIA,589,69.10
Medium_VISIB,PSC,585,47.77
Medium_VISIB,MLI,548,56.20
Medium_VISIB,CRW,542,57.04
Medium_VISIB,ISP,540,32.75
Medium_VISIB,CRP,533,44.56
Medium_VISIB,FAI,515,28.99
Medium_VISIB,GNV,511,60.07
Medium_VISIB,GPT,511,43.46
Medium_VISIB,SBA,507,73.14
Medium_VISIB,TVC,498,61.90
Medium_VISIB,MGM,488,51.60
Medium_VISIB,TRI,487,48.87
Medium_VISIB,MFE,467,55.55
Medium_VISIB,AVP,454,70.12
Medium_VISIB,GJT,453,65.00
Medium_VISIB,GRB,451,65.50
Medium_VISIB,BGR,448,68.50
Medium_VISIB,OAJ,444,47.21
Medium_VISIB,EVV,443,52.07
Medium_VISIB,LFT,441,64.02
Medium_VISIB,ITO,427,19.28
Medium_VISIB,DAB,407,40.99
Medium_VISIB,MTJ,391,61.32
Medium_VISIB,HDN,378,57.96
Medium_VISIB,AEX,376,51.76
Medium_VISIB,MRY,357,70.73
Medium_VISIB,STS,345,47.37
Medium_VISIB,GTF,324,67.30
Medium_VISIB,MOT,317,73.38
Medium_VISIB,PHF,310,56.00
Medium_VISIB,LAN,298,64.27
