MONTH,ORIGIN_CITY,num_delays,avg_delay_time
January,ATL,19889,30.97
January,BWI,6845,28.74
January,CLT,14168,33.92
January,DAL,5815,22.50
January,DFW,19522,36.37
January,DTW,8299,44.42
January,EWR,10574,41.85
January,IAH,9178,40.65
January,JFK,6971,46.49
January,LAS,10429,29.36
January,LAX,12076,33.35
January,LGA,7596,42.94
January,MCO,10283,34.85
January,MDW,6325,25.59
January,MIA,7657,36.70
January,ORD,20599,41.63
January,PHX,10666,28.33
January,SEA,13034,30.54
January,SFO,7855,40.01
January,SLC,7594,31.69
February,ATL,20294,32.25
February,BWI,6757,27.55
February,CLT,15524,39.87
February,DAL,5631,21.75
February,DFW,18264,38.33
February,DTW,8384,45.97
February,EWR,9744,42.65
February,IAH,9384,39.13
February,JFK,7100,46.02
February,LAS,10374,28.19
February,LAX,11352,32.21
February,LGA,7926,50.92
February,MCO,10602,35.60
February,MDW,6148,22.70
February,MIA,7641,39.22
February,ORD,20387,44.50
February,PHX,11594,28.34
February,SEA,11473,27.68
February,SFO,6809,38.17
February,SLC,7176,32.63
March,ATL,21304,30.26
March,BWI,7763,28.40
March,CLT,12465,32.41
March,DAL,6956,26.46
March,DFW,19191,36.22
March,DTW,7196,38.71
March,EWR,9632,40.74
March,IAH,9732,37.95
March,JFK,6662,41.50
March,LAS,12495,33.19
March,LAX,12229,30.66
March,LGA,7558,46.37
March,MCO,12288,40.91
March,MDW,6404,26.09
March,MIA,7818,34.41
March,ORD,16805,35.51
March,PHX,13800,28.82
March,SEA,11089,25.97
March,SFO,6573,31.46
March,SLC,7270,33.22
April,ATL,17691,31.92
April,BWI,7521,30.06
April,CLT,9062,30.68
April,DAL,5571,25.18
April,DFW,16441,38.37
April,DTW,5837,45.26
April,EWR,7750,45.79
April,IAH,7030,40.42
April,JFK,5820,50.54
April,LAS,10964,30.11
April,LAX,9643,30.83
April,LGA,6409,48.16
April,MCO,10882,46.57
April,MDW,6068,28.01
April,MIA,7167,41.74
April,ORD,11840,39.31
April,PHX,10825,28.27
April,SEA,9042,27.41
April,SFO,5307,31.68
April,SLC,5286,28.73
May,ATL,21851,28.18
May,BWI,8379,29.10
May,CLT,12232,36.86
May,DAL,6978,28.56
May,DFW,19915,43.21
May,DTW,6378,37.78
May,EWR,9102,49.23
May,IAH,8591,47.40
May,JFK,6689,44.24
May,LAS,13254,28.04
May,LAX,11592,29.04
May,LGA,6817,48.09
May,MCO,10813,35.08
May,MDW,7157,25.37
May,MIA,7219,39.48
May,ORD,13537,35.83
May,PHX,11499,27.22
May,SEA,10032,23.10
May,SFO,5989,32.32
May,SLC,6607,27.59
June,ATL,23864,32.83
June,BWI,10238,34.91
June,CLT,16708,42.14
June,DAL,8710,32.71
June,DFW,26493,45.36
June,DTW,7678,40.39
June,EWR,9711,53.19
June,IAH,11309,46.27
June,JFK,8566,52.69
June,LAS,16496,35.26
June,LAX,14955,33.97
June,LGA,7630,54.38
June,MCO,12806,48.95
June,MDW,11155,34.32
June,MIA,8760,47.53
June,ORD,21617,46.25
June,PHX,14720,38.53
June,SEA,14227,26.09
June,SFO,8532,33.06
June,SLC,8600,33.91
July,ATL,28226,36.15
July,BWI,10877,34.85
July,CLT,19041,44.58
July,DAL,8441,31.90
July,DFW,28352,45.20
July,DTW,8344,39.88
July,EWR,10648,53.85
July,IAH,12641,45.69
July,JFK,9767,55.90
July,LAS,18384,40.01
July,LAX,15675,37.17
July,LGA,8319,58.48
July,MCO,14464,48.48
July,MDW,11213,32.62
July,MIA,8541,44.90
July,ORD,25047,43.71
July,PHX,15396,39.04
July,SEA,13820,26.05
July,SFO,8550,34.67
July,SLC,9611,36.79
August,ATL,25336,31.86
August,BWI,11057,35.62
August,CLT,16823,40.30
August,DAL,8170,34.78
August,DFW,24928,46.90
August,DTW,8407,39.28
August,EWR,10438,49.25
August,IAH,11894,46.24
August,JFK,8850,47.78
August,LAS,17331,36.45
August,LAX,14503,34.41
August,LGA,7685,51.53
August,MCO,12819,45.95
August,MDW,11320,35.27
August,MIA,7643,41.45
August,ORD,24277,49.42
August,PHX,13995,38.06
August,SEA,15326,25.40
August,SFO,8122,32.63
August,SLC,9031,32.40
September,ATL,18688,25.50
September,BWI,8726,25.15
September,CLT,10543,31.17
September,DAL,7536,25.57
September,DFW,19584,36.82
September,DTW,5930,31.63
September,EWR,7127,43.36
September,IAH,8722,38.46
September,JFK,6652,45.74
September,LAS,14960,31.41
September,LAX,11157,31.50
September,LGA,5925,44.33
September,MCO,8821,38.26
September,MDW,8609,24.41
September,MIA,6052,40.01
September,ORD,16837,38.26
September,PHX,11646,28.89
September,SEA,11876,24.35
September,SFO,6662,32.43
September,SLC,6885,28.06
October,ATL,21006,26.13
