VISIB,num_delays,avg_delay_time
0.0,60,40.92
0.2,1,23.00
0.3,234,63.24
0.4,208,43.06
0.5,179,49.45
0.6,980,49.45
0.7,238,62.25
0.8,194,68.33
0.9,338,41.07
1.0,1077,58.07
1.1,467,52.84
1.2,262,75.22
1.3,508,49.68
1.4,214,66.94
1.5,483,49.10
1.6,830,44.44
1.7,722,97.29
1.8,1152,80.29
1.9,616,61.45
2.0,632,60.86
2.1,1256,43.18
2.2,1284,46.69
2.3,836,60.14
2.4,1089,48.76
2.5,2069,49.94
2.6,1171,48.39
2.7,1637,54.77
2.8,2335,65.44
2.9,1542,68.88
3.0,2662,42.05
3.1,2515,43.97
3.2,3502,51.37
3.3,1753,59.99
3.4,4318,47.71
3.5,4494,62.09
3.6,3921,60.77
3.7,1677,52.53
3.8,4029,52.66
3.9,4592,47.67
4.0,3049,43.37
4.1,3347,51.93
4.2,4607,49.67
4.3,5080,47.45
4.4,3565,52.79
4.5,4985,57.47
4.6,5906,55.91
4.7,4849,46.96
4.8,7148,48.59
4.9,7419,43.08
5.0,6098,48.01
5.1,7412,48.28
5.2,7923,60.84
5.3,8075,47.87
5.4,8683,47.62
5.5,7655,47.26
5.6,8621,51.59
5.7,9185,44.23
5.8,8143,47.74
5.9,8008,42.12
6.0,10805,46.24
6.1,10488,45.37
6.2,13314,41.65
6.3,10016,46.59
6.4,13684,49.92
6.5,14316,45.16
6.6,16941,45.93
6.7,17584,43.03
6.8,13537,45.54
6.9,17146,45.31
7.0,15332,39.61
7.1,18634,43.23
7.2,21724,43.58
7.3,18047,46.99
7.4,22283,42.27
7.5,24053,46.74
7.6,26023,44.41
7.7,23593,40.18
7.8,21680,42.03
7.9,26499,40.69
8.0,31479,41.63
8.1,30408,41.48
8.2,36866,42.71
8.3,34571,41.21
8.4,35694,41.94
8.5,42478,41.55
8.6,40159,41.26
8.7,58119,42.99
8.8,48472,40.28
8.9,54049,42.67
9.0,64795,40.01
9.1,61387,41.31
9.2,83843,42.18
9.3,84411,42.04
9.4,93282,42.12
9.5,141533,42.78
9.6,134741,43.45
9.7,210971,41.63
9.8,183384,38.66
9.9,262554,38.47
10.0,2786260,35.93
10.1,6,10.17
10.2,3,108.33
10.3,7,57.43
10.4,7,21.71
10.5,9,49.33
10.6,3,131.33
10.7,3,37.33
10.8,12,137.08
10.9,9,33.78
11.0,8,28.00
11.1,4,37.50
11.2,4,28.25
11.3,12,32.75
11.4,10,35.10
11.5,16,43.56
11.6,6,159.67
11.7,27,60.70
11.8,9,19.78
11.9,9,24.56
12.0,3,40.00
12.2,8,160.62
12.3,12,64.50
12.4,5,12.40
12.5,14,40.00
12.6,4,32.50
12.7,5,14.80
12.8,6,40.50
12.9,12,47.83
13.0,1,9.00
13.1,7,14.86
13.2,2,12.50
13.3,22,25.05
13.5,10,26.20
13.6,1,13.00
13.7,5,12.60
13.8,9,31.67
13.9,1,69.00
14.0,9,61.33
14.1,2,130.50
14.2,30,32.17
14.3,2,124.00
14.5,1,62.00
14.6,6,23.50
14.8,2,10.50
14.9,1,20.00
15.0,13,28.38
15.2,1,11.00
15.4,2,42.00
15.6,3,20.33
15.8,4,63.25
16.0,1,47.00
16.3,1,13.00
16.5,1,1.00
16.8,4,63.00
20.0,2,14.50
