VISIB_CATEGORY,ORIGIN_CITY,num_delays,avg_delay_time
High_VISIB,LBE,363,44.10
High_VISIB,LBB,4,61.00
High_VISIB,GPT,3,158.33
High_VISIB,GEG,2,61.00
High_VISIB,SHR,2,218.50
High_VISIB,HPN,1,67.00
High_VISIB,SMX,1,2.00
Low_VISIB,ATL,5696,32.07
Low_VISIB,ORD,3685,76.37
Low_VISIB,SEA,3037,35.67
Low_VISIB,DTW,2913,50.76
Low_VISIB,LAX,2661,38.53
Low_VISIB,BOS,2174,60.23
Low_VISIB,JFK,2130,64.32
Low_VISIB,SMF,1995,42.94
Low_VISIB,IAH,1836,47.71
Low_VISIB,LGA,1733,81.88
Low_VISIB,DFW,1630,35.02
Low_VISIB,CLT,1404,43.39
Low_VISIB,GEG,1316,44.81
Low_VISIB,EWR,1316,55.43
Low_VISIB,BWI,1268,36.23
Low_VISIB,MDW,951,64.23
Low_VISIB,PHL,756,65.51
Low_VISIB,SLC,685,36.61
Low_VISIB,FAT,654,63.37
Low_VISIB,MCO,571,43.40
Low_VISIB,CLE,519,67.18
Low_VISIB,CVG,509,64.02
Low_VISIB,SFO,504,37.95
Low_VISIB,SNA,483,52.28
Low_VISIB,MSP,483,42.55
Low_VISIB,PIT,477,59.18
Low_VISIB,MCI,462,34.05
Low_VISIB,BNA,449,55.37
Low_VISIB,PDX,400,34.59
Low_VISIB,ANC,368,43.58
Low_VISIB,AUS,361,39.65
Low_VISIB,BOI,355,54.77
Low_VISIB,STL,341,33.75
Low_VISIB,RNO,322,50.01
Low_VISIB,GRR,306,73.07
Low_VISIB,BDL,289,44.75
Low_VISIB,HPN,286,86.14
Low_VISIB,SAN,282,53.26
Low_VISIB,MSY,276,60.91
Low_VISIB,ONT,275,33.90
Low_VISIB,IND,267,69.85
Low_VISIB,IAD,266,64.26
Low_VISIB,CMH,260,67.77
Low_VISIB,ASE,257,83.59
Low_VISIB,LGB,242,65.12
Low_VISIB,RDU,235,52.47
Low_VISIB,MKE,233,40.92
Low_VISIB,OAK,230,38.53
Low_VISIB,BUR,212,31.12
Low_VISIB,CID,205,84.44
Low_VISIB,MFR,203,91.95
Low_VISIB,BFL,181,86.90
Low_VISIB,DSM,174,82.91
Low_VISIB,PWM,169,61.41
Low_VISIB,EUG,165,70.12
Low_VISIB,FAI,164,39.06
Low_VISIB,FSD,163,118.55
Low_VISIB,FAR,161,159.60
Low_VISIB,SAT,152,58.83
Low_VISIB,GSO,150,51.11
Low_VISIB,PVD,128,48.02
Low_VISIB,RIC,124,55.71
Low_VISIB,DAY,123,73.73
Low_VISIB,MEM,118,41.14
Low_VISIB,MSO,117,65.30
Low_VISIB,ALB,116,74.74
Low_VISIB,CAK,114,94.40
Low_VISIB,PSC,114,84.21
Low_VISIB,ACV,112,165.86
Low_VISIB,FCA,112,101.48
Low_VISIB,MSN,110,57.32
Low_VISIB,LIT,105,64.75
Low_VISIB,DLH,100,76.19
Low_VISIB,SBA,97,67.64
Low_VISIB,ORF,96,49.70
Low_VISIB,ROC,88,66.33
Low_VISIB,SBN,87,112.39
Low_VISIB,GSP,81,61.74
Low_VISIB,OMA,80,45.77
Low_VISIB,FWA,77,81.04
