ORIGIN_CITY,num_delays,avg_delay_time
ATL,263989,30.52
DFW,260410,40.98
ORD,231169,41.75
LAS,173102,33.13
CLT,165173,36.74
PHX,158585,32.57
LAX,155746,33.50
SEA,149314,27.59
MCO,140638,40.54
IAH,121672,41.39
EWR,119186,44.44
BWI,106772,30.15
MDW,99473,28.67
SLC,93658,32.70
MIA,92336,39.92
LGA,91509,48.24
JFK,91438,45.76
SFO,90035,34.63
DTW,89991,39.70
DAL,88516,28.23
FLL,86733,39.61
BOS,86719,41.27
DCA,85189,43.93
MSP,82401,38.38
BNA,76957,32.97
PHL,66381,45.59
AUS,65940,37.52
TPA,62979,36.99
SAN,59948,32.46
IAD,56069,46.92
STL,54739,33.67
HNL,47266,23.37
SMF,43616,29.38
OAK,43157,26.01
PDX,41967,31.75
MSY,39672,36.64
SNA,36765,32.06
SJC,35573,30.45
RDU,35361,44.03
MCI,31498,37.21
IND,29291,37.45
CVG,27378,42.60
SJU,26640,47.89
CLE,26482,44.02
OGG,26399,27.33
CMH,25760,40.40
PIT,24168,41.72
SAT,23945,38.11
BUR,21148,31.09
JAX,20425,42.77
PBI,19859,48.75
MKE,18594,40.47
CHS,18074,43.05
ONT,17873,33.98
BDL,17051,43.28
MEM,16805,45.40
ABQ,16050,38.36
SDF,15611,46.78
RNO,15364,38.97
BOI,15199,38.95
OMA,15082,40.79
RIC,14684,46.13
GEG,14083,34.20
ORF,13924,47.37
ANC,13908,32.50
SAV,13825,44.89
OKC,13803,45.23
SRQ,13093,47.21
LGB,12603,29.50
ELP,12438,44.46
GRR,11991,49.04
BHM,11675,42.79
KOA,11167,29.39
PVD,11072,43.35
TUS,10651,43.79
ASE,10640,81.52
TUL,9983,46.34
LIT,9414,43.91
ALB,9328,49.16
LIH,9273,27.25
PSP,9195,44.08
EYW,9174,46.88
DSM,9024,52.39
SFB,8877,46.44
PNS,8825,50.02
SYR,8799,55.81
TYS,8675,55.95
ROC,8643,52.47
PWM,8243,53.00
GSP,8222,47.33
FAT,7789,47.62
BZN,7777,44.56
HPN,7434,57.70
AVL,7347,48.31
XNA,6774,52.28
GSO,6735,50.58
MSN,6728,54.67
SGF,6581,50.39
ICT,6461,52.02
CID,6381,52.00
EUG,6036,46.52
FSD,5627,58.61
DAY,5554,57.96
MAF,5542,52.59
HSV,5393,51.02
JAN,5337,45.73
MDT,5294,51.98
LEX,5074,53.25
CAE,4966,46.39
RDM,4884,45.61
BTV,4877,61.80
SBA,4798,46.31
FAR,4719,62.43
MHT,4581,44.64
FWA,4545,55.16
ISP,4500,39.70
MFR,4470,50.82
ILM,4467,54.63
CHA,4368,47.75
ATW,4303,56.36
SBN,4078,55.87
LBB,4059,55.34
MSO,3915,51.21
SHV,3887,52.71
ITO,3831,22.20
RAP,3633,58.60
AMA,3617,52.60
FCA,3579,49.76
TLH,3546,45.07
TVC,3529,56.51
FAI,3419,32.62
AGS,3400,43.72
SBP,3294,51.25
BGR,3293,54.38
BTR,3292,53.56
ROA,3279,57.55
ABE,3156,61.50
PSC,3043,52.73
FNT,3034,48.81
JNU,3027,35.73
LFT,3025,58.67
MFE,2936,59.54
CHO,2932,61.99
CRP,2926,54.46
PIA,2889,57.28
BIS,2718,63.76
BIL,2687,52.56
GPT,2531,51.83
GNV,2437,52.96
MLI,2410,65.29
IDA,2409,69.12
CRW,2386,57.10
GJT,2337,63.44
STS,2314,41.14
MRY,2306,61.68
CAK,2254,58.43
MGM,2244,56.95
FAY,2188,49.14
MTJ,2179,55.54
PAE,2155,32.78
TRI,2104,54.51
GRB,2052,62.74
HDN,1860,55.96
AVP,1852,58.60
DAB,1842,47.18
ACY,1743,52.17
TTN,1734,56.76
OAJ,1676,45.52
MOT,1648,66.83
EVV,1644,59.83
AEX,1571,61.63
GTF,1550,58.08
BFL,1524,73.15
BMI,1503,63.00
MLB,1430,46.33
COU,1419,76.15
SAF,1406,79.42
FLG,1324,90.42
CPR,1309,58.01
LNK,1304,78.09
PVU,1216,35.08
BRO,1215,68.85
ABI,1189,57.92
DLH,1161,65.89
MLU,1156,60.77
CWA,1127,64.50
RST,1116,68.23
HTS,1111,49.43
LAN,1087,65.28
SPI,1052,60.37
PUW,1034,27.35
CSG,1009,45.20
BET,999,24.37
RFD,987,48.09
PHF,983,65.33
LYH,958,46.69
SCK,940,48.00
SUN,933,62.40
ACV,932,97.01
SJT,897,50.84
AZO,866,72.38
TOL,846,56.65
GRI,840,54.24
EWN,838,56.32
ACT,834,44.64
CLL,831,59.81
MBS,825,67.78
LCH,821,64.95
FSM,821,61.90
HLN,806,59.72
ERI,799,70.87
CMI,782,56.93
